 Total battles: 931894
 Avg. weight/team: 0.005
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Incineroar         | 47.67361% | 754602 | 40.488% | 349966 | 41.467% | 
 | 2    | Miraidon           | 42.62424% | 610098 | 32.734% | 397475 | 47.096% | 
 | 3    | Calyrex-Shadow     | 36.90416% | 492060 | 26.401% | 294831 | 34.934% | 
 | 4    | Zamazenta-Crowned  | 34.04921% | 326645 | 17.526% | 188346 | 22.317% | 
 | 5    | Urshifu-Rapid-Strike | 29.93958% | 444348 | 23.841% | 155134 | 18.382% | 
 | 6    | Calyrex-Ice        | 29.22907% | 459364 | 24.647% | 264904 | 31.388% | 
 | 7    | Rillaboom          | 25.70110% | 366125 | 19.644% | 144697 | 17.145% | 
 | 8    | Chien-Pao          | 21.00738% | 171554 |  9.205% | 69750  |  8.265% | 
 | 9    | Raging Bolt        | 16.75855% | 206140 | 11.060% | 63183  |  7.486% | 
 | 10   | Whimsicott         | 16.37298% | 306283 | 16.433% | 102619 | 12.159% | 
 | 11   | Amoonguss          | 15.82918% | 295520 | 15.856% | 101825 | 12.065% | 
 | 12   | Grimmsnarl         | 15.05723% | 223974 | 12.017% | 81273  |  9.630% | 
 | 13   | Kyogre             | 14.83826% | 304746 | 16.351% | 192144 | 22.767% | 
 | 14   | Volcarona          | 14.46852% | 129351 |  6.940% | 43918  |  5.204% | 
 | 15   | Smeargle           | 14.05165% | 202089 | 10.843% | 95082  | 11.266% | 
 | 16   | Landorus           | 13.60088% | 135542 |  7.272% | 47901  |  5.676% | 
 | 17   | Tornadus           | 12.83914% | 268083 | 14.384% | 88977  | 10.543% | 
 | 18   | Flutter Mane       | 11.05041% | 246887 | 13.247% | 99427  | 11.781% | 
 | 19   | Farigiraf          |  9.82790% | 226713 | 12.164% | 76961  |  9.119% | 
 | 20   | Lunala             |  9.38501% | 240373 | 12.897% | 134344 | 15.918% | 
 | 21   | Groudon            |  9.13899% | 146338 |  7.852% | 90110  | 10.677% | 
 | 22   | Chi-Yu             |  8.45571% | 150779 |  8.090% | 57834  |  6.853% | 
 | 23   | Sneasler           |  8.11965% | 33128  |  1.777% | 14296  |  1.694% | 
 | 24   | Koraidon           |  7.89779% | 276397 | 14.830% | 161815 | 19.173% | 
 | 25   | Ogerpon-Cornerstone |  7.58715% | 77728  |  4.170% | 25641  |  3.038% | 
 | 26   | Indeedee-F         |  7.48504% | 230425 | 12.363% | 103099 | 12.216% | 
 | 27   | Iron Hands         |  7.40113% | 198282 | 10.639% | 82712  |  9.800% | 
 | 28   | Ursaluna           |  6.51103% | 154624 |  8.296% | 68832  |  8.156% | 
 | 29   | Terapagos          |  6.24285% | 141452 |  7.589% | 78432  |  9.293% | 
 | 30   | Roaring Moon       |  6.09396% | 37834  |  2.030% | 12020  |  1.424% | 
 | 31   | Ditto              |  5.04242% | 36637  |  1.966% | 16001  |  1.896% | 
 | 32   | Weezing-Galar      |  4.92436% | 55909  |  3.000% | 22756  |  2.696% | 
 | 33   | Dondozo            |  4.69096% | 29785  |  1.598% | 15512  |  1.838% | 
 | 34   | Tatsugiri          |  4.54832% | 26956  |  1.446% | 14379  |  1.704% | 
 | 35   | Zacian-Crowned     |  4.50953% | 129715 |  6.960% | 76979  |  9.121% | 
 | 36   | Ogerpon-Hearthflame |  4.21612% | 77393  |  4.152% | 26991  |  3.198% | 
 | 37   | Clefairy           |  4.01857% | 60301  |  3.235% | 22494  |  2.665% | 
 | 38   | Urshifu            |  3.71910% | 108653 |  5.830% | 43798  |  5.190% | 
 | 39   | Maushold           |  3.60899% | 26202  |  1.406% | 10120  |  1.199% | 
 | 40   | Iron Jugulis       |  2.99950% | 29672  |  1.592% | 9569   |  1.134% | 
 | 41   | Ogerpon-Wellspring |  2.73957% | 66796  |  3.584% | 20996  |  2.488% | 
 | 42   | Iron Treads        |  2.17798% | 38932  |  2.089% | 12652  |  1.499% | 
